#,Clube,Clube.1,Unnamed: 3,V,E,D,Gols,SG,Pts
1,,Flamengo,38,28,6,4,86:37,49,90
2,,Santos,38,22,8,8,60:33,27,74
3,,Palmeiras,38,21,11,6,61:32,29,74
4,,Grêmio,38,19,8,11,64:39,25,65
5,,Athletico-PR,38,18,10,10,51:32,19,64
6,,São Paulo,38,17,12,9,39:30,9,63
7,,Internacional,38,16,9,13,44:39,5,57
8,,Corinthians,38,14,14,10,42:34,8,56
9,,Fortaleza,38,15,8,15,50:49,1,53
10,,Goiás,38,15,7,16,46:64,-18,52
11,,Bahia,38,12,13,13,44:43,1,49
12,,Vasco da Gama,38,12,13,13,39:45,-6,49
13,,Atlético-MG,38,13,9,16,45:49,-4,48
14,,Fluminense,38,12,10,16,38:46,-8,46
15,,Botafogo,38,13,4,21,31:45,-14,43
16,,Ceará,38,10,9,19,36:41,-5,39
17,,Cruzeiro,38,7,15,16,27:46,-19,36
18,,CSA,38,8,8,22,24:58,-34,32
19,,Chapecoense,38,7,11,20,31:52,-21,32
20,,Avaí,38,3,11,24,18:62,-44,20
