#,Clube,Clube.1,Unnamed: 3,V,E,D,Gols,SG,Pts
1,,Corinthians,38,21,9,8,50:30,20,72
2,,Palmeiras,38,19,6,13,61:45,16,63
3,,Santos,38,17,12,9,42:32,10,63
4,,Grêmio,38,18,8,12,55:36,19,62
5,,Cruzeiro,38,15,12,11,47:39,8,57
6,,Flamengo,38,15,11,12,49:38,11,56
7,,Vasco da Gama,38,15,11,12,40:47,-7,56
8,,Chapecoense,38,15,9,14,47:49,-2,54
9,,Atlético-MG,38,14,12,12,52:49,3,54
10,,Botafogo,38,14,11,13,45:42,3,53
11,,Atlético-PR,38,14,9,15,45:43,2,51
12,,Bahia,38,13,11,14,50:48,2,50
13,,São Paulo,38,13,11,14,48:49,-1,50
14,,Fluminense,38,11,14,13,50:53,-3,47
15,,Sport,38,12,9,17,46:58,-12,45
16,,Vitória,38,11,10,17,50:58,-8,43
17,,Coritiba,38,11,10,17,42:51,-9,43
18,,Avaí,38,10,13,15,29:48,-19,43
19,,Ponte Preta,38,10,9,19,37:52,-15,39
20,,Atlético-GO,38,9,9,20,38:56,-18,36
